count,medal,name,country
1,bronze,Australia,AUS
2,silver,Australia,AUS
0,gold,Australia,AUS
1,bronze,Austria,AUT
6,silver,Austria,AUT
2,gold,Austria,AUT
1,bronze,Belarus,BLR
0,silver,Belarus,BLR
5,gold,Belarus,BLR
4,bronze,Canada,CAN
8,silver,Canada,CAN
4,gold,Canada,CAN
1,bronze,China,CHN
2,silver,China,CHN
3,gold,China,CHN
0,bronze,Croatia,HRV
1,silver,Croatia,HRV
0,gold,Croatia,HRV
2,bronze,Czech Republic,CZE
3,silver,Czech Republic,CZE
1,gold,Czech Republic,CZE
0,bronze,Finland,FIN
3,silver,Finland,FIN
0,gold,Finland,FIN
5,bronze,France,FRA
2,silver,France,FRA
3,gold,France,FRA
4,bronze,Germany,DEU
3,silver,Germany,DEU
8,gold,Germany,DEU
1,bronze,Great Britain,GBR
0,silver,Great Britain,GBR
1,gold,Great Britain,GBR
4,bronze,Italy,ITA
2,silver,Italy,ITA
0,gold,Italy,ITA
2,bronze,Japan,JPN
4,silver,Japan,JPN
1,gold,Japan,JPN
1,bronze,Kazakhstan,KAZ
0,silver,Kazakhstan,KAZ
0,gold,Kazakhstan,KAZ
1,bronze,Korea,KOR
1,silver,Korea,KOR
2,gold,Korea,KOR
2,bronze,Latvia,LVA
1,silver,Latvia,LVA
0,gold,Latvia,LVA
8,bronze,Netherlands,NLD
6,silver,Netherlands,NLD
6,gold,Netherlands,NLD
7,bronze,Norway,NOR
4,silver,Norway,NOR
8,gold,Norway,NOR
0,bronze,Poland,POL
0,silver,Poland,POL
4,gold,Poland,POL
7,bronze,Russian Fed.,RUS
8,silver,Russian Fed.,RUS
6,gold,Russian Fed.,RUS
0,bronze,Slovakia,SVK
0,silver,Slovakia,SVK
1,gold,Slovakia,SVK
4,bronze,Slovenia,SVN
1,silver,Slovenia,SVN
2,gold,Slovenia,SVN
2,bronze,Sweden,SWE
5,silver,Sweden,SWE
2,gold,Sweden,SWE
1,bronze,Switzerland,CHE
3,silver,Switzerland,CHE
6,gold,Switzerland,CHE
1,bronze,Ukraine,UKR
0,silver,Ukraine,UKR
0,gold,Ukraine,UKR
10,bronze,United States,USA
4,silver,United States,USA
6,gold,United States,USA
